epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6561,3.04602,4.21063,3.10568,0.01088,0.26,0.02088,0.00464,3.00867,3.37035,3.30745,4.444e-05,4.444e-05,4.444e-05
2,27.4824,2.7603,3.97174,2.74353,0.76408,0.136,0.13676,0.0622,1.42286,2.82079,2.44346,9.99749e-05,9.99749e-05,9.99749e-05
3,31.4499,1.69242,2.68942,1.77147,0.24023,0.14819,0.16441,0.08613,1.44441,3.48068,2.26388,0.000155446,0.000155446,0.000155446
4,35.291,1.48396,2.27572,1.57693,0.15996,0.18514,0.14562,0.07547,1.3049,3.03802,1.98085,0.000210804,0.000210804,0.000210804
5,39.8421,1.50698,2.26742,1.47219,0.26363,0.38876,0.26794,0.13105,1.22334,3.47648,1.89724,0.000265997,0.000265997,0.000265997
6,43.8928,1.3753,2.06632,1.42935,0.36204,0.33819,0.28784,0.13005,1.13655,3.45946,1.69281,0.000320977,0.000320977,0.000320977
7,47.5794,1.4023,2.02239,1.4313,0.56165,0.29589,0.25548,0.09106,1.26114,6.62849,2.05933,0.000375694,0.000375694,0.000375694
8,51.3113,1.45926,2.06075,1.41762,0.21651,0.31954,0.13941,0.04105,2.43817,12.7071,4.66249,0.000430098,0.000430098,0.000430098
9,55.2613,1.44824,2.00619,1.43145,0.30208,0.20962,0.17999,0.06861,2.13434,8.38413,3.67032,0.00048414,0.00048414,0.00048414
10,58.8409,1.43918,2.0421,1.42096,0.27464,0.24314,0.05242,0.02936,1.30616,211.755,2.51022,0.000537772,0.000537772,0.000537772
11,62.4823,1.37299,1.92809,1.34395,0.16466,0.47335,0.17792,0.09254,1.06972,26.9849,1.90049,0.000590945,0.000590945,0.000590945
12,66.3987,1.45764,1.89459,1.34667,0.16346,0.44609,0.1851,0.08448,1.17633,20.8459,2.50436,0.000643613,0.000643613,0.000643613
13,69.9921,1.42778,1.81936,1.35395,0.17311,0.36219,0.19916,0.08783,1.138,8.03647,2.11456,0.000695728,0.000695728,0.000695728
14,73.5973,1.41497,1.74412,1.39043,0.39392,0.42924,0.35181,0.13942,1.03857,17.3314,1.811,0.000747243,0.000747243,0.000747243
