epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5012,3.17267,5.40104,2.98417,0.2473,0.082,0.01713,0.00339,3.41571,4.36649,3.51378,4.444e-05,4.444e-05,4.444e-05
2,26.9363,3.05281,5.20223,2.79573,0.54789,0.122,0.09451,0.0423,1.66486,2.83831,2.44504,9.99749e-05,9.99749e-05,9.99749e-05
3,29.0003,1.98901,3.45134,1.89426,0.45719,0.26615,0.19086,0.08173,1.60625,4.15971,2.3942,0.000155446,0.000155446,0.000155446
4,30.9334,1.71801,2.84162,1.71034,0.42358,0.21267,0.17458,0.07824,1.40101,5.36261,2.15704,0.000210804,0.000210804,0.000210804
5,32.8353,1.61008,2.50875,1.60018,0.19576,0.38912,0.24349,0.12337,1.06441,4.0735,1.62194,0.000265997,0.000265997,0.000265997
6,34.6919,1.45252,2.28852,1.50178,0.14434,0.28667,0.16714,0.08889,1.12954,3.11515,1.61959,0.000320977,0.000320977,0.000320977
7,36.5443,1.47543,2.26435,1.45344,0.1683,0.34489,0.14492,0.0733,1.03736,2.46424,1.36685,0.000375694,0.000375694,0.000375694
8,38.9094,1.52032,2.20396,1.38783,0.16175,0.2705,0.18453,0.06545,1.04907,2.3086,1.50762,0.000430098,0.000430098,0.000430098
9,41.0087,1.48562,2.16732,1.41376,0.26672,0.39569,0.25907,0.13417,1.07451,2.35371,1.54297,0.00048414,0.00048414,0.00048414
10,42.9391,1.44692,2.00651,1.35929,0.47724,0.34326,0.23814,0.1242,1.01252,2.58143,1.40901,0.000537772,0.000537772,0.000537772
11,44.7743,1.41662,1.99205,1.32009,0.22081,0.46371,0.23079,0.11842,1.08468,4.00894,1.47001,0.000590945,0.000590945,0.000590945
12,46.6468,1.46129,1.93455,1.33456,0.31565,0.39619,0.27527,0.15151,1.11168,2.63506,1.73363,0.000643613,0.000643613,0.000643613
13,48.5522,1.44849,1.94677,1.35075,0.54052,0.26914,0.21769,0.12709,1.11789,2.48477,1.59552,0.000695728,0.000695728,0.000695728
14,50.697,1.42931,1.87132,1.38023,0.19482,0.34215,0.22512,0.1317,1.00785,6.80081,1.73679,0.000747243,0.000747243,0.000747243
15,52.9905,1.4717,1.96841,1.39754,0.32881,0.46371,0.29079,0.14603,1.0616,6.66538,1.82644,0.000798113,0.000798113,0.000798113
16,54.7833,1.34293,1.80347,1.35159,0.25093,0.46632,0.2585,0.12565,1.27141,6.48406,2.26071,0.000848294,0.000848294,0.000848294
17,56.6643,1.32362,1.77476,1.3384,0.42819,0.34771,0.21332,0.09336,1.24514,6.67164,1.89244,0.00089774,0.00089774,0.00089774
18,58.479,1.34784,1.73373,1.33367,0.23228,0.32605,0.18031,0.08608,1.27322,4.52684,1.75068,0.000946408,0.000946408,0.000946408
19,60.3074,1.37305,1.71892,1.30535,0.28822,0.31561,0.18739,0.08671,1.20839,3.43409,1.64084,0.000994256,0.000994256,0.000994256
20,62.1194,1.30735,1.66525,1.2966,0.2853,0.33888,0.25897,0.14103,1.0769,2.66516,1.48397,0.00104124,0.00104124,0.00104124
21,64.3225,1.36056,1.65621,1.34927,0.46881,0.32045,0.25594,0.14543,1.03835,2.95476,1.43009,0.00104551,0.00104551,0.00104551
22,66.4304,1.28764,1.65195,1.31354,0.3164,0.28714,0.17299,0.10419,1.16861,2.61121,1.49881,0.00103896,0.00103896,0.00103896
23,68.2301,1.33778,1.64699,1.3092,0.16186,0.2501,0.12361,0.0813,1.14261,2.63735,1.48679,0.00103214,0.00103214,0.00103214
24,70.1385,1.29001,1.62575,1.30667,0.23791,0.30914,0.18297,0.09665,1.42292,3.21716,1.77561,0.00102503,0.00102503,0.00102503
25,71.973,1.34072,1.61039,1.33172,0.42709,0.33644,0.25735,0.1291,1.12248,2.41803,1.48765,0.00101764,0.00101764,0.00101764
