epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.539,3.08282,4.18016,3.15216,0.0109,0.26,0.02094,0.00452,3.01238,3.36737,3.31207,4.444e-05,4.444e-05,4.444e-05
2,15.3558,3.06102,4.20345,2.99444,0.01177,0.252,0.02242,0.0066,1.83168,3.33188,2.55547,9.99749e-05,9.99749e-05,9.99749e-05
3,19.5301,2.05284,3.08396,1.9387,0.26731,0.23063,0.15369,0.07034,1.33277,3.54468,2.14228,0.000155446,0.000155446,0.000155446
4,23.4164,1.73578,2.64678,1.7641,0.18082,0.24669,0.11567,0.05807,1.29803,3.44651,2.07471,0.000210804,0.000210804,0.000210804
5,27.4207,1.56507,2.33157,1.58384,0.23317,0.29399,0.17504,0.08339,1.43549,5.41544,2.11042,0.000265997,0.000265997,0.000265997
6,31.2975,1.44173,2.24165,1.50797,0.44859,0.12469,0.15131,0.07832,1.89424,2.79584,2.43925,0.000320977,0.000320977,0.000320977
7,37.5028,1.52138,2.23806,1.54754,0.43615,0.25593,0.24046,0.11934,1.46476,9.68366,2.55872,0.000375694,0.000375694,0.000375694
8,41.7525,1.5293,2.28434,1.54036,0.51217,0.2665,0.1969,0.10712,1.3112,8.32333,1.83136,0.000430098,0.000430098,0.000430098
9,45.5332,1.53717,2.27287,1.50123,0.34006,0.2501,0.18452,0.11091,1.33339,3.50118,1.90248,0.00048414,0.00048414,0.00048414
10,49.2588,1.49451,2.14666,1.45297,0.43642,0.1421,0.12473,0.06661,1.72005,5.29023,1.98693,0.000537772,0.000537772,0.000537772
11,53.136,1.50373,2.13213,1.41792,0.32654,0.22562,0.2418,0.12329,1.48236,9.34921,2.81003,0.000590945,0.000590945,0.000590945
12,57.0352,1.53814,2.15437,1.39888,0.35206,0.29645,0.29481,0.09107,1.45536,23.8853,2.50331,0.000643613,0.000643613,0.000643613
13,60.7325,1.5203,2.1056,1.43909,0.49203,0.22257,0.19766,0.08651,1.4642,15.4809,2.43174,0.000695728,0.000695728,0.000695728
14,64.7256,1.46728,1.92178,1.47096,0.21272,0.32971,0.22857,0.09891,1.47954,49.0218,3.37473,0.000747243,0.000747243,0.000747243
15,68.5767,1.50816,1.99818,1.46734,0.27473,0.37924,0.24621,0.08788,1.61649,23.0671,4.1015,0.000798113,0.000798113,0.000798113
16,72.3227,1.46186,1.99491,1.44391,0.33131,0.12914,0.07927,0.03276,2.32355,29.8523,4.64369,0.000848294,0.000848294,0.000848294
17,76.2454,1.43621,2.05685,1.41927,0.25219,0.48326,0.35325,0.09926,2.20139,23.609,3.09135,0.00089774,0.00089774,0.00089774
18,80.2803,1.43149,1.94066,1.39631,0.43228,0.29676,0.24974,0.06752,2.40991,29.8343,5.49514,0.000946408,0.000946408,0.000946408
19,83.9992,1.4734,1.88254,1.34537,0.37643,0.26067,0.16279,0.03897,2.63451,45.0979,7.31383,0.000994256,0.000994256,0.000994256
20,87.8152,1.37972,1.8347,1.3367,0.23591,0.33314,0.18031,0.05164,2.53476,24.9449,5.35145,0.00104124,0.00104124,0.00104124
21,91.8623,1.3843,1.85258,1.37582,0.56958,0.29555,0.33262,0.16486,1.3972,17.9603,2.32286,0.00104551,0.00104551,0.00104551
22,95.7424,1.41798,1.91674,1.36103,0.49987,0.27166,0.24101,0.11983,1.36929,16.1546,2.27112,0.00103896,0.00103896,0.00103896
23,99.4875,1.46075,1.84687,1.38921,0.39335,0.21219,0.16109,0.08551,1.2717,12.1942,2.27715,0.00103214,0.00103214,0.00103214
24,103.521,1.46233,1.87205,1.39071,0.4127,0.25058,0.17619,0.08001,1.51551,15.4221,2.92512,0.00102503,0.00102503,0.00102503
25,107.281,1.41726,1.79446,1.37599,0.37986,0.23619,0.13155,0.03731,2.06963,14.4847,3.41871,0.00101764,0.00101764,0.00101764
26,111.024,1.41469,1.75256,1.36127,0.42226,0.15162,0.13082,0.03837,1.97539,16.6212,3.60191,0.00100998,0.00100998,0.00100998
27,115.079,1.45493,1.71463,1.32632,0.12945,0.30114,0.1443,0.04327,2.0689,6.89828,3.13403,0.00100206,0.00100206,0.00100206
28,118.975,1.35553,1.71257,1.41251,0.47823,0.31807,0.31911,0.14667,1.45092,8.4868,2.25853,0.000993877,0.000993877,0.000993877
29,122.774,1.32766,1.70026,1.36545,0.33008,0.34283,0.32267,0.1429,1.19409,15.6838,1.92451,0.000985439,0.000985439,0.000985439
30,126.709,1.34567,1.65515,1.33962,0.3038,0.37937,0.34105,0.16246,1.12623,16.3102,1.90737,0.000976752,0.000976752,0.000976752
31,131.021,1.38859,1.6389,1.32834,0.1612,0.54476,0.26747,0.11524,1.02562,9.86107,1.60182,0.000967822,0.000967822,0.000967822
32,134.866,1.34125,1.61216,1.34216,0.46966,0.37867,0.34385,0.11913,1.42681,3.39769,1.99883,0.000958655,0.000958655,0.000958655
33,138.794,1.41721,1.66617,1.34387,0.43393,0.33878,0.27922,0.10091,1.98624,2.71648,2.42943,0.000949258,0.000949258,0.000949258
34,143.136,1.3094,1.62824,1.35681,0.14465,0.20697,0.12366,0.04094,3.1365,4.65613,3.59633,0.000939636,0.000939636,0.000939636
35,146.939,1.32705,1.68784,1.33647,0.27164,0.20808,0.13398,0.05533,1.8629,11.8425,2.43035,0.000929797,0.000929797,0.000929797
36,150.94,1.32904,1.67007,1.31429,0.26812,0.43264,0.22379,0.09706,1.31053,6.29528,1.9073,0.000919747,0.000919747,0.000919747
37,154.991,1.29401,1.63288,1.34009,0.24405,0.4165,0.26277,0.12279,1.18928,3.83072,1.64534,0.000909493,0.000909493,0.000909493
38,158.823,1.3515,1.70947,1.37556,0.39861,0.45832,0.33299,0.11045,1.16531,4.5725,1.57556,0.000899042,0.000899042,0.000899042
39,162.668,1.29594,1.64437,1.34646,0.33038,0.41914,0.24403,0.0909,1.17172,4.50086,1.67671,0.000888401,0.000888401,0.000888401
40,166.883,1.28137,1.55774,1.36052,0.42886,0.30314,0.28388,0.13982,1.13115,3.00328,1.64929,0.000877578,0.000877578,0.000877578
41,170.678,1.31108,1.56474,1.33756,0.35869,0.35419,0.26862,0.13862,1.2361,3.71574,1.82354,0.00086658,0.00086658,0.00086658
42,174.484,1.25749,1.56821,1.33149,0.43875,0.36371,0.34283,0.18469,1.18602,3.80444,1.7113,0.000855414,0.000855414,0.000855414
43,180.79,1.21805,1.4867,1.31201,0.47816,0.37371,0.31687,0.11865,1.20792,3.64225,1.72825,0.000844089,0.000844089,0.000844089
44,184.661,1.30826,1.52555,1.3113,0.2978,0.44984,0.29391,0.14246,1.16435,2.4227,1.61947,0.000832611,0.000832611,0.000832611
45,188.565,1.25177,1.47683,1.27795,0.41933,0.23562,0.24335,0.13183,1.17671,2.22567,1.62387,0.000820989,0.000820989,0.000820989
46,192.534,1.22544,1.42066,1.27397,0.31935,0.41371,0.31203,0.14767,1.19521,2.23929,1.62628,0.000809231,0.000809231,0.000809231
47,196.32,1.22391,1.47178,1.27226,0.2727,0.3745,0.30581,0.15385,1.24182,2.13872,1.67437,0.000797345,0.000797345,0.000797345
48,200.269,1.23404,1.43373,1.30183,0.65283,0.26051,0.28083,0.13958,1.16177,1.96873,1.45612,0.000785338,0.000785338,0.000785338
49,204.288,1.22523,1.45327,1.30959,0.32572,0.32219,0.28675,0.17255,1.12909,2.0929,1.49313,0.00077322,0.00077322,0.00077322
50,208.044,1.21378,1.38832,1.3002,0.42869,0.2859,0.28611,0.16861,1.09039,2.12162,1.50367,0.000760998,0.000760998,0.000760998
51,211.869,1.22934,1.41096,1.29748,0.60653,0.33567,0.35812,0.18744,1.13651,1.93641,1.53911,0.000748681,0.000748681,0.000748681
52,219.747,1.18826,1.387,1.29402,0.68708,0.32736,0.39035,0.18778,1.25124,1.5801,1.71763,0.000736277,0.000736277,0.000736277
53,225.857,1.2206,1.41204,1.24687,0.49456,0.38367,0.37822,0.17525,1.25126,1.69824,1.78059,0.000723796,0.000723796,0.000723796
54,229.912,1.21651,1.39688,1.25521,0.41554,0.36439,0.3649,0.15775,1.213,1.85767,1.69866,0.000711244,0.000711244,0.000711244
55,236.008,1.18328,1.42022,1.28123,0.28407,0.36162,0.31173,0.12803,1.1663,1.92717,1.56078,0.000698631,0.000698631,0.000698631
56,240.334,1.22318,1.38942,1.29917,0.49735,0.32032,0.32826,0.15281,1.12412,1.70438,1.50835,0.000685966,0.000685966,0.000685966
57,244.15,1.12809,1.32028,1.28263,0.53793,0.32958,0.31412,0.16183,1.07142,1.85952,1.53429,0.000673258,0.000673258,0.000673258
58,247.947,1.12223,1.29385,1.24932,0.62941,0.31512,0.34591,0.16852,1.13106,2.03709,1.61367,0.000660514,0.000660514,0.000660514
59,254.477,1.1239,1.3626,1.30369,0.4184,0.40724,0.36794,0.18061,1.09591,1.89247,1.52136,0.000647744,0.000647744,0.000647744
60,258.343,1.19772,1.38805,1.2922,0.61586,0.28517,0.37196,0.1757,1.02404,1.74876,1.4214,0.000634956,0.000634956,0.000634956
61,262.42,1.13932,1.26579,1.27715,0.46619,0.28762,0.33508,0.1494,0.94635,1.92259,1.39398,0.00062216,0.00062216,0.00062216
62,266.26,1.10526,1.28845,1.28886,0.45821,0.25651,0.30131,0.12476,1.02581,2.13033,1.50569,0.000609364,0.000609364,0.000609364
63,270.072,1.13679,1.26832,1.25778,0.47586,0.2621,0.27786,0.10954,1.17246,2.17539,1.56735,0.000596576,0.000596576,0.000596576
64,274.094,1.12479,1.31926,1.2614,0.69059,0.32471,0.40493,0.18877,1.14067,1.6553,1.52103,0.000583806,0.000583806,0.000583806
65,278.558,1.10012,1.26907,1.25852,0.66105,0.30564,0.35507,0.18804,1.11996,1.80306,1.4992,0.000571062,0.000571062,0.000571062
66,282.334,1.09944,1.28163,1.22836,0.5523,0.32965,0.33699,0.18016,1.14103,1.79596,1.5315,0.000558354,0.000558354,0.000558354
67,286.375,1.13436,1.2685,1.24808,0.58864,0.33963,0.32846,0.17013,1.09069,1.70426,1.47562,0.000545689,0.000545689,0.000545689
68,290.444,1.08644,1.16911,1.20245,0.46728,0.37714,0.32788,0.16679,1.01172,1.57155,1.40138,0.000533076,0.000533076,0.000533076
69,294.183,1.11305,1.24469,1.22391,0.47473,0.37714,0.33122,0.17191,1.01509,1.53273,1.39696,0.000520524,0.000520524,0.000520524
70,298.092,1.09524,1.19293,1.2316,0.46942,0.39767,0.34288,0.20056,1.0078,1.60616,1.39086,0.000508043,0.000508043,0.000508043
71,302.286,1.08321,1.13454,1.21012,0.49426,0.38342,0.34436,0.18772,1.06105,1.60995,1.40944,0.000495639,0.000495639,0.000495639
72,306.115,1.05737,1.18428,1.25417,0.3643,0.27885,0.27234,0.12582,1.1655,1.78433,1.4678,0.000483322,0.000483322,0.000483322
73,309.886,1.03471,1.17821,1.24748,0.39031,0.35467,0.29745,0.15041,1.14279,1.56029,1.4694,0.0004711,0.0004711,0.0004711
74,313.982,1.0149,1.13502,1.234,0.4627,0.44792,0.39899,0.19071,1.12106,1.44076,1.45518,0.000458982,0.000458982,0.000458982
75,317.776,1.04727,1.14733,1.22681,0.58818,0.3996,0.42221,0.20385,1.05559,1.45132,1.4172,0.000446975,0.000446975,0.000446975
76,324.366,1.02232,1.14277,1.23234,0.41845,0.37081,0.35068,0.15699,1.03613,1.56846,1.32506,0.000435089,0.000435089,0.000435089
77,328.233,1.05996,1.16081,1.24279,0.36049,0.36627,0.32877,0.15097,1.1097,1.6306,1.38441,0.000423331,0.000423331,0.000423331
78,331.99,1.04472,1.12303,1.24769,0.39476,0.35362,0.32078,0.1442,1.11042,1.59234,1.39939,0.000411709,0.000411709,0.000411709
79,335.971,1.04531,1.09061,1.20905,0.46176,0.34333,0.34975,0.15683,1.05041,1.56058,1.35685,0.000400231,0.000400231,0.000400231
80,340.115,1.00148,1.1552,1.23221,0.46729,0.38562,0.33051,0.16459,0.93612,1.34599,1.32747,0.000388906,0.000388906,0.000388906
81,343.906,0.97551,1.0948,1.21418,0.47532,0.38714,0.36154,0.18484,0.95417,1.38555,1.36057,0.00037774,0.00037774,0.00037774
82,347.864,1.05242,1.10482,1.21843,0.45818,0.37914,0.34191,0.16914,0.93559,1.46667,1.33271,0.000366742,0.000366742,0.000366742
83,351.909,1.0023,1.08589,1.2161,0.33979,0.37762,0.30655,0.14585,0.94802,1.59118,1.32705,0.000355919,0.000355919,0.000355919
84,355.735,1.02712,1.06732,1.19626,0.48878,0.36162,0.33379,0.16957,1.03558,1.60416,1.41162,0.000345278,0.000345278,0.000345278
85,359.578,1.00559,1.02515,1.19475,0.56955,0.35627,0.35513,0.17791,1.07456,1.532,1.41671,0.000334827,0.000334827,0.000334827
86,363.642,0.99049,1.03955,1.16696,0.64729,0.42447,0.4169,0.19376,1.0644,1.45683,1.39485,0.000324573,0.000324573,0.000324573
87,367.474,0.95737,1.06144,1.20507,0.55446,0.39271,0.37701,0.17967,1.05537,1.5601,1.3583,0.000314523,0.000314523,0.000314523
88,371.348,1.01609,1.05504,1.19749,0.46379,0.29514,0.31583,0.16415,0.97545,1.6167,1.37819,0.000304684,0.000304684,0.000304684
89,375.347,0.99225,0.98125,1.16103,0.47947,0.39571,0.37604,0.18311,0.95305,1.68835,1.3657,0.000295062,0.000295062,0.000295062
90,379.132,0.92757,1.00274,1.18661,0.45616,0.40413,0.35635,0.17498,0.97935,1.58317,1.35525,0.000285665,0.000285665,0.000285665
91,382.916,0.9775,1.03003,1.21888,0.39608,0.43514,0.32859,0.17507,1.00675,1.51491,1.36943,0.000276498,0.000276498,0.000276498
92,387.578,0.95752,0.99628,1.18778,0.395,0.37962,0.33376,0.17011,1.01143,1.4983,1.35553,0.000267568,0.000267568,0.000267568
93,391.35,0.93733,1.00689,1.19617,0.46949,0.36114,0.30811,0.14906,0.99963,1.5265,1.3694,0.000258881,0.000258881,0.000258881
94,395.154,0.97562,1.04945,1.20414,0.3996,0.38471,0.30523,0.1451,0.99745,1.58979,1.37007,0.000250443,0.000250443,0.000250443
95,399.118,0.95162,0.95473,1.18799,0.35786,0.3101,0.28625,0.13589,1.00075,1.62602,1.3493,0.00024226,0.00024226,0.00024226
96,403.162,0.91255,0.99346,1.20491,0.31515,0.40962,0.27292,0.15466,1.05791,1.53927,1.37831,0.000234337,0.000234337,0.000234337
97,407.465,0.93595,0.96738,1.17017,0.34853,0.3081,0.27685,0.16626,1.05805,1.44667,1.38221,0.00022668,0.00022668,0.00022668
98,411.447,0.93167,0.99723,1.20071,0.36542,0.3129,0.28626,0.1772,1.04897,1.44821,1.37712,0.000219294,0.000219294,0.000219294
99,415.479,0.9152,1.01101,1.19783,0.3227,0.3921,0.26212,0.16134,0.99576,1.51233,1.32596,0.000212184,0.000212184,0.000212184
100,419.324,0.93078,0.94854,1.18792,0.39252,0.33562,0.27543,0.12768,1.03391,1.6246,1.33772,0.000205355,0.000205355,0.000205355
101,423.242,0.91885,1.00062,1.17514,0.36232,0.32749,0.25085,0.11632,1.0442,1.69489,1.33958,0.000198812,0.000198812,0.000198812
102,427.265,0.93769,0.97056,1.18366,0.38164,0.34286,0.26418,0.11833,1.05348,1.64271,1.34715,0.000192559,0.000192559,0.000192559
103,431.015,0.92791,1.00468,1.17819,0.39354,0.36241,0.27503,0.12937,1.07346,1.61271,1.37002,0.0001866,0.0001866,0.0001866
